model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_distance_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_similarity_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_similarity_s,profile_predict_vote_s,profile_train_predict_distance_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s,profile_train_predict_vote_s
qsvm_angle,42,122,52,8,8,1.487119443998381,1.1818077999996603,,,,,,,,,,,,,,,
state_svm_angle,42,122,52,8,8,0.01707304200681392,0.010406501998659223,,0.015448649995960295,0.00019849099771818146,0.0009348870007670484,0.00045671699626836926,,0.009119071997702122,0.00022295999951893464,0.00018095700215781108,0.0008750399938435294,,,0.00014363499940373003,0.00019179499940946698,
qsvm_amplitude,42,122,52,8,3,1.840532358000928,1.4469198820006568,,,,,,,,,,,,,,,
state_svm_amplitude,42,122,52,8,3,0.016923158000281546,0.0077344749952317216,,0.01578022399917245,0.00021465899772010744,0.0007292430018424056,0.00016826200590003282,,0.007294278999324888,0.0002091470014420338,0.0001470380011596717,7.64639989938587e-05,,,0.00011705200449796394,0.00014163100422592834,
qsvm_zz,42,122,52,8,8,16.531573255000694,13.811308985001233,,,,,,,,,,,,,,,
state_svm_zz,42,122,52,8,8,0.2277939640043769,0.09046568200574256,,0.2259378859962453,0.00022475700097857043,0.0011883960032719187,0.000400314005673863,,0.08964466200268362,0.0003373930012458004,0.0001940180009114556,0.00027864000003319234,,,0.00017095300427172333,0.0001794179988792166,
qknn_angle,42,122,52,8,8,0.015599543003190774,0.008123128005536273,,0.015376183000626042,0.00019166099809808657,,,0.00022416499996325,0.007151863996114116,7.652000931557268e-06,1.4397999620996416e-05,,0.0007158149965107441,0.0034373770031379536,5.712994607165456e-06,1.1052004992961884e-05,0.0020775230004801415
state_knn_angle,42,122,52,8,8,0.01982292500179028,0.012176557997008786,,0.019558999003493227,0.00022967699624132365,,,0.002097665004839655,0.009056495997356251,7.285001629497856e-06,1.693299418548122e-05,,0.0009878400014713407,0.004036742000607774,5.590001819655299e-06,1.115899794967845e-05,0.0021474110035342164
qknn_amplitude,42,122,52,8,3,0.019814753002719954,0.009881933001452126,,0.019562943001801614,0.00021606499649351463,,,8.631299715489149e-05,0.008793454995611683,6.474001565948129e-06,1.5040001017041504e-05,,0.0009714820043882355,0.0017284159985138103,5.1059978432022035e-06,9.331997716799378e-06,0.0020579699994414113
state_knn_amplitude,42,122,52,8,3,0.019550737000827212,0.00981360600417247,,0.01929586400365224,0.00022012700355844572,,,9.445500472793356e-05,0.00873432799562579,6.734997441526502e-06,1.442299981135875e-05,,0.0009538169979350641,9.687500278232619e-05,5.649999366141856e-06,9.138995665125549e-06,0.0016258209943771362
qknn_zz,42,122,52,8,8,0.16061824100324884,0.06783433999953559,,0.16039558500051498,0.00018855500093195587,,,0.0003766410009120591,0.06671413599542575,5.371002771425992e-06,1.757299469318241e-05,,0.0007100139991962351,0.0003938689987990074,5.3490002756007016e-06,1.1242998880334198e-05,0.0021203910000622272
state_knn_zz,42,122,52,8,8,0.17193412400229136,0.06746766199648846,,0.17165666400251212,0.00023989299370441586,,,0.00036321099469205365,0.0663628019974567,5.14300336362794e-06,1.6776000848039985e-05,,0.0007090829967637546,0.0002863650006474927,5.194997356738895e-06,1.0925003152806312e-05,0.002091468995786272
photonic_fidelity_svm_angle,42,122,52,8,,0.5279051149991574,0.07452578200172866,,,,,,,,,,,,,,,
photonic_state_svm_angle,42,122,52,8,,0.014523544996336568,0.0346755979990121,,0.0033514390015625395,,0.0009620029959478416,0.010182407997490373,,0.02745324099669233,0.00027839099493576214,0.0001757749996613711,0.006758602998161223,,,0.00014265600475482643,0.0001832249981816858,
photonic_fidelity_knn_angle,42,122,52,8,,0.09146579899970675,0.07693769500474446,,,,,,,,,,,,,,,
photonic_state_knn_angle,42,122,52,8,,0.008879045002686325,0.0025855399944703095,2.4619999749120325e-05,0.0023744760037516244,,0.0005204310000408441,0.0059432039997773245,9.69499524217099e-06,1.1819996871054173e-05,0.0006144569997559302,0.0005426619973150082,0.0013997909991303459,,,0.0006325740032480098,0.0006448310014093295,
