2026-07-05 22:53:12 | INFO | runtime | Starting qSVM_qKNN run
2026-07-05 22:53:13 | INFO | qSVM_qKNN | Starting qSVM_qKNN run
2026-07-05 22:53:13 | INFO | qSVM_qKNN | === seed 42 ===
2026-07-05 22:53:26 | INFO | qSVM_qKNN | Loaded ids2012 from data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedMonJun14Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedSatJun12Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedSunJun13Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedThuJun17Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedTueJun15Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedWedJun16Flows.csv: rows raw=2071657 clean=200000 train=14906 test=2000; classes=[0, 1]; features raw=11 used=10; photonic_modes=10
2026-07-05 22:53:26 | INFO | qSVM_qKNN | Class distribution clean/subset={0: 191547 (0.958), 1: 8453 (0.042)}; train={0: 7453 (0.500), 1: 7453 (0.500)}; test={0: 1000 (0.500), 1: 1000 (0.500)}
2026-07-05 22:53:26 | INFO | qSVM_qKNN | Running svm_classical: train=14906 test=2000 features=10 qubits=None
2026-07-05 22:53:27 | INFO | qSVM_qKNN | svm_classical accuracy=0.9905 precision=0.9890 recall=0.9920 f1=0.9905
2026-07-05 22:53:27 | INFO | qSVM_qKNN | Running state_svm_angle: train=14906 test=2000 features=10 qubits=10
2026-07-05 22:53:40 | INFO | qSVM_qKNN | state_svm_angle accuracy=0.9860 precision=0.9793 recall=0.9930 f1=0.9861
2026-07-05 22:53:40 | INFO | qSVM_qKNN | Running state_svm_amplitude: train=14906 test=2000 features=10 qubits=4
2026-07-05 22:53:44 | INFO | qSVM_qKNN | state_svm_amplitude accuracy=0.9570 precision=0.9369 recall=0.9800 f1=0.9580
2026-07-05 22:53:44 | INFO | qSVM_qKNN | Running hybrid_svm_angle: train=14906 test=2000 features=10 qubits=10
2026-07-05 22:53:50 | INFO | qSVM_qKNN | hybrid_svm_angle accuracy=0.9855 precision=0.9783 recall=0.9930 f1=0.9856
2026-07-05 22:53:50 | INFO | qSVM_qKNN | Running hybrid_svm_amplitude: train=14906 test=2000 features=10 qubits=4
2026-07-05 22:53:56 | INFO | qSVM_qKNN | hybrid_svm_amplitude accuracy=0.9600 precision=0.9348 recall=0.9890 f1=0.9611
2026-07-05 22:53:56 | INFO | qSVM_qKNN | Running photonic_hybrid_svm_angle: train=14906 test=2000 features=10 qubits=None
2026-07-05 22:53:59 | INFO | qSVM_qKNN | photonic_hybrid_svm_angle accuracy=0.9915 precision=0.9891 recall=0.9940 f1=0.9915
2026-07-05 22:53:59 | INFO | qSVM_qKNN | Running photonic_hybrid_svm_amplitude: train=14906 test=2000 features=10 qubits=None
2026-07-05 22:54:00 | INFO | qSVM_qKNN | photonic_hybrid_svm_amplitude accuracy=0.9880 precision=0.9851 recall=0.9910 f1=0.9880
2026-07-05 22:54:00 | INFO | qSVM_qKNN | Running photonic_state_svm_angle: train=14906 test=2000 features=10 qubits=None
2026-07-05 22:54:02 | INFO | qSVM_qKNN | photonic_state_svm_angle accuracy=0.9865 precision=0.9784 recall=0.9950 f1=0.9866
2026-07-05 22:54:02 | INFO | qSVM_qKNN | Running knn_classical: train=14906 test=2000 features=10 qubits=None
2026-07-05 22:54:03 | INFO | qSVM_qKNN | knn_classical accuracy=0.9935 precision=0.9910 recall=0.9960 f1=0.9935
