family,model,n_seeds,n_test,roc_auc,roc_auc_std,fpr,tpr,tpr_std
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.0,0.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.01,0.898,0.009899494936611674
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.02,0.9126666666666668,0.002867441755680878
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.03,0.9266666666666667,0.007586537784494035
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.04,0.9403333333333332,0.004027681991198164
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.05,0.9533333333333333,0.00659966329107445
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.06,0.9603333333333333,0.01132352516764203
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.07,0.964,0.009626352718795776
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.08,0.9649999999999999,0.008831760866327856
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.09,0.9683333333333334,0.008178562764256872
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.1,0.9686666666666666,0.008219218670625309
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.11,0.9700000000000001,0.007348469228349541
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.12,0.971,0.0073484692283495405
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.13,0.9716666666666667,0.007760297817881884
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.14,0.9733333333333333,0.00736357401145818
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.15,0.976,0.0065319726474218145
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.16,0.9773333333333333,0.004988876515698593
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.17,0.9783333333333334,0.004496912521077351
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.18,0.9783333333333334,0.004496912521077351
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.19,0.979,0.004082482904638634
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.2,0.9793333333333333,0.0036817870057290905
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.21,0.98,0.0037416573867739447
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.22,0.9813333333333333,0.002624669291337273
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.23,0.9820000000000001,0.0035590260840104404
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.24,0.9826666666666667,0.0037712361663282566
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.25,0.9853333333333333,0.0030912061651652374
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.26,0.9863333333333334,0.0030912061651652374
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.27,0.989,0.002828427124746193
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.28,0.991,0.0008164965809277268
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.29,0.992,0.0016329931618554536
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.3,0.9926666666666666,0.0009428090415820641
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.31,0.9933333333333333,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.32,0.9933333333333333,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.33,0.9940000000000001,0.0008164965809277268
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.34,0.9943333333333334,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.35000000000000003,0.995,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.36,0.9953333333333334,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.37,0.9976666666666666,0.0012472191289246482
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.38,0.9976666666666666,0.0012472191289246482
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.39,0.9976666666666666,0.0012472191289246482
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.4,0.9980000000000001,0.0008164965809277268
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.41000000000000003,0.9980000000000001,0.0008164965809277268
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.42,0.9980000000000001,0.0008164965809277268
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.43,0.9986666666666667,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.44,0.999,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.45,0.999,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.46,0.999,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.47000000000000003,0.9993333333333334,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.48,0.9993333333333334,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.49,0.9993333333333334,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.5,0.9996666666666667,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.51,0.9996666666666667,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.52,0.9996666666666667,0.00047140452079103207
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.53,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.54,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.55,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.56,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.5700000000000001,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.58,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.59,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.6,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.61,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.62,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.63,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.64,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.65,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.66,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.67,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.68,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.6900000000000001,1.0,0.0
svm,svm_classical,3,2000,0.9889433333333333,0.0012616527740318228,0.7000000000000001,1.0,0.0
