model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_distance_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_similarity_s,profile_fit_standardize_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_similarity_s,profile_predict_standardize_s,profile_predict_vote_s,profile_train_predict_distance_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s,profile_train_predict_vote_s
svm_classical,42,13562,2000,10,,0.710957850998966,0.2270134020000114,,,,0.7109475519973785,,,,,0.11395262199948775,0.11305292099859798,,,,,0.7700626470032148,0.7672778319974896,
svm_classical,43,13562,2000,10,,0.6456757010018919,0.2324736330047017,,,,0.6456679820039426,,,,,0.11680230899946764,0.11566132699954323,,,,,0.7867144949996145,0.7929146120004589,
svm_classical,44,13562,2000,10,,0.6371644690007088,0.2339370530025917,,,,0.6371566369998618,,,,,0.11765485299838474,0.11627350400522118,,,,,0.7890151259998675,0.7859287540049991,
state_svm_angle,42,13562,2000,10,10,8.861046011996223,1.508774200003245,,2.383800103001704,0.0004873099969699979,0.3676924390019849,6.108905790999415,,,0.39437887800158933,0.03171669999574078,0.040654856005858164,1.0406059569941135,,,,0.21200954399682814,0.27646564400492935,
state_svm_angle,43,13562,2000,10,10,8.8491184049999,1.505922639000346,,2.3950197670055786,0.0002162750024581328,0.3532453070001793,6.100490242999513,,,0.39391213199996855,0.03168486600043252,0.04123372199683217,1.0385449309978867,,,,0.21332799299852923,0.28108002000226406,
state_svm_angle,44,13562,2000,10,10,8.93535929799691,1.534772562001308,,2.515742051000416,0.0002273980062454939,0.37028325899882475,6.048955381003907,,,0.4040603980029118,0.03261880300124176,0.04166632000124082,1.0555518330002087,,,,0.21726131900504697,0.2825639240036253,
state_svm_amplitude,42,13562,2000,10,4,3.444559682000545,0.5036177829970256,,1.790297608000401,0.0002514690058887936,0.6278530470008263,1.0260952780008665,,,0.23945596100384137,0.03755275800358504,0.04712899000151083,0.17901844900188735,,,,0.24362545300391503,0.3068897650009603,
state_svm_amplitude,43,13562,2000,10,4,3.435783664994233,0.5136680869982229,,1.8015356469986727,0.00024358299560844898,0.5668352329957997,1.0671236090056482,,,0.23727484900155105,0.03509832700365223,0.044562149996636435,0.1963133680037572,,,,0.237173885005177,0.3054481350045535,
state_svm_amplitude,44,13562,2000,10,4,3.3943501920002745,0.5067603530042106,,1.7126939789959579,0.00023887799761723727,0.6042768939951202,1.0770887410035357,,,0.23801073399954475,0.03996014400036074,0.045057884002744686,0.18323236900323536,,,,0.2502544509989093,0.3082111210023868,
hybrid_svm_angle,42,13562,2000,10,10,4.526882792000833,0.8288168590006535,,3.7235563909998746,0.00026175499806413427,0.8015635170013411,,0.0013567880014306866,,0.5654780109980493,0.13161504000163404,0.1314335770002799,,0.0002767810001387261,,,0.892167996003991,0.8885041889952845,
