2026-07-05 22:58:15 | INFO | runtime | Starting qSVM_qKNN run
2026-07-05 22:58:16 | INFO | qSVM_qKNN | Starting qSVM_qKNN run
2026-07-05 22:58:16 | INFO | qSVM_qKNN | === seed 42 ===
2026-07-05 22:58:17 | INFO | qSVM_qKNN | Loaded url2016 from data/qSVM_qKNN/ISCX-URL-2016/Defacement_Infogain.csv: rows raw=15711 clean=15711 train=13562 test=2000; classes=[0, 1]; features raw=15 used=10; photonic_modes=10
2026-07-05 22:58:17 | INFO | qSVM_qKNN | Class distribution clean/subset={0: 7781 (0.495), 1: 7930 (0.505)}; train={0: 6781 (0.500), 1: 6781 (0.500)}; test={0: 1000 (0.500), 1: 1000 (0.500)}
2026-07-05 22:58:17 | INFO | qSVM_qKNN | Fitting PCA prediction-region interpolation for svm_classical: train=13562 test=2000 display_test=800 grid=300x300 k=75
2026-07-05 22:58:20 | INFO | qSVM_qKNN | Fitting PCA prediction-region interpolation for state_svm_angle: train=13562 test=2000 display_test=800 grid=300x300 k=75
2026-07-05 22:58:32 | INFO | qSVM_qKNN | Fitting PCA prediction-region interpolation for photonic_hybrid_svm_angle: train=13562 test=2000 display_test=800 grid=300x300 k=75
2026-07-05 22:58:39 | INFO | qSVM_qKNN | Fitting PCA prediction-region interpolation for photonic_hybrid_svm_angle: train=13562 test=2000 display_test=800 grid=300x300 k=75
2026-07-05 22:58:45 | INFO | qSVM_qKNN | Fitting PCA prediction-region interpolation for photonic_hybrid_svm_amplitude: train=13562 test=2000 display_test=800 grid=300x300 k=75
2026-07-05 22:58:49 | INFO | qSVM_qKNN | Running svm_classical: train=13562 test=2000 features=10 qubits=None
2026-07-05 22:58:52 | INFO | qSVM_qKNN | svm_classical accuracy=0.9465 precision=0.9627 recall=0.9290 f1=0.9455
2026-07-05 22:58:52 | INFO | qSVM_qKNN | Running state_svm_angle: train=13562 test=2000 features=10 qubits=10
2026-07-05 22:59:02 | INFO | qSVM_qKNN | state_svm_angle accuracy=0.9150 precision=0.9424 recall=0.8840 f1=0.9123
2026-07-05 22:59:02 | INFO | qSVM_qKNN | Running state_svm_amplitude: train=13562 test=2000 features=10 qubits=4
2026-07-05 22:59:07 | INFO | qSVM_qKNN | state_svm_amplitude accuracy=0.8945 precision=0.9038 recall=0.8830 f1=0.8933
2026-07-05 22:59:07 | INFO | qSVM_qKNN | Running hybrid_svm_angle: train=13562 test=2000 features=10 qubits=10
