family,model,n_seeds,n_test,roc_auc,roc_auc_std,fpr,tpr,tpr_std
svm,state_svm_angle,1,50,0.9808,0.0,0.62,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.63,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.64,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.65,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.66,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.67,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.68,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.6900000000000001,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.7000000000000001,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.71,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.72,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.73,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.74,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.75,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.76,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.77,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.78,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.79,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.8,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.81,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.8200000000000001,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.8300000000000001,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.84,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.85,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.86,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.87,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.88,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.89,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.9,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.91,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.92,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.93,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.9400000000000001,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.9500000000000001,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.96,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.97,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.98,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,0.99,1.0,0.0
svm,state_svm_angle,1,50,0.9808,0.0,1.0,1.0,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.0,0.0,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.01,0.32,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.02,0.32,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.03,0.32,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.04,0.64,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.05,0.64,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.06,0.64,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.07,0.64,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.08,0.8,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.09,0.8,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.1,0.8,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.11,0.8,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.12,0.8,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.13,0.8,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.14,0.8,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.15,0.8,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.16,0.84,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.17,0.84,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.18,0.84,0.0
svm,qsvm_amplitude,1,50,0.9328000000000001,0.0,0.19,0.84,0.0
