model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_distance_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_standardize_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_standardize_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s
svm_classical,42,13562,2000,15,,0.5229540360014653,0.1735590019961819,,,,0.5229475250016549,,,,0.0866460709949024,0.08689983400108758,,0.5839483969975845,0.5846634510016884
hybrid_svm_angle,42,13562,2000,15,15,10.250009349998436,1.5816380809992552,,9.549939579002967,0.035202423998271115,0.6630240920057986,0.0016627509976387955,,1.3745867870020447,0.1035653729995829,0.10315991500101518,0.00031289599428419024,0.696999419000349,0.6933530720052659
photonic_hybrid_svm_angle,42,13562,2000,455,,4.395395712002937,1.0110259070061147,,0.7403526630005217,,3.606688102001499,0.04832451599941123,,0.03365113099425798,0.48795860200334573,0.4871530750024249,0.0022489830007543787,3.302468708003289,3.288424088001193
photonic_hybrid_svm_amplitude,42,13562,2000,20,,0.650149720000627,0.3011942650045967,,0.06316122200223617,,0.5833592030030559,0.003603396995458752,,0.006706033003865741,0.14731678899988765,0.14683327799866674,0.00032423000084236264,0.9936148350025178,0.9918522089938051
knn_classical,42,13562,2000,15,,0.012898241999209858,0.062249194001196884,,,,0.012892070000816602,,,,0.03148045000125421,0.030761917994823307,,0.19399687200348126,0.192447743997036
hybrid_knn_angle,42,13562,2000,15,15,11.119043058999523,1.4737893429992255,,11.10274033099995,0.0005331050051609054,0.013613543997053057,0.001992278004763648,,1.39602602100058,0.039185287001600955,0.03820612400159007,0.0003608780025388114,0.22479102900251746,0.2255164100060938
photonic_hybrid_knn_angle,42,13562,2000,455,,1.843480705996626,0.6684788999991724,1.5970508829996106,0.006786029000068083,,0.19133872999373125,0.048267079997458495,0.28024337000533706,2.0048995793331414e-05,0.19257378399925074,0.19287815500138095,0.0022134160026325844,0.8663085769949248,0.8477579829996102
photonic_hybrid_knn_amplitude,42,13562,2000,20,,1.487634427001467,0.5703768570019747,1.284343451996392,0.0013078600022708997,,0.199213628002326,0.002736075002758298,0.1840688069933094,3.222599480068311e-05,0.19531316299980972,0.190165921994776,0.0003125509974779561,0.8393569480031147,0.8369804829999339
