family,model,n_seeds,n_test,roc_auc,roc_auc_std,fpr,tpr,tpr_std
svm,svm_classical,1,2000,0.989535,0.0,0.44,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.45,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.46,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.47000000000000003,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.48,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.49,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.5,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.51,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.52,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.53,0.999,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.54,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.55,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.56,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.5700000000000001,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.58,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.59,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.6,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.61,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.62,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.63,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.64,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.65,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.66,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.67,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.68,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.6900000000000001,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.7000000000000001,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.71,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.72,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.73,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.74,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.75,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.76,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.77,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.78,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.79,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.8,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.81,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.8200000000000001,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.8300000000000001,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.84,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.85,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.86,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.87,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.88,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.89,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.9,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.91,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.92,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.93,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.9400000000000001,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.9500000000000001,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.96,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.97,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.98,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,0.99,1.0,0.0
svm,svm_classical,1,2000,0.989535,0.0,1.0,1.0,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.0,0.0,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.01,0.995,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.02,0.996,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.03,0.997,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.04,0.997,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.05,0.997,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.06,0.997,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.07,0.997031914893617,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.08,0.9970638297872341,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.09,0.997095744680851,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.1,0.997127659574468,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.11,0.9971595744680851,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.12,0.9971914893617021,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.13,0.9972234042553192,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.14,0.9972553191489362,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.15,0.9972872340425532,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.16,0.9973191489361702,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.17,0.9973510638297872,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.18,0.9973829787234042,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.19,0.9974148936170213,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.2,0.9974468085106383,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.21,0.9974787234042554,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.22,0.9975106382978723,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.23,0.9975425531914893,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.24,0.9975744680851064,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.25,0.9976063829787234,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.26,0.9976382978723404,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.27,0.9976702127659575,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.28,0.9977021276595744,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.29,0.9977340425531915,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.3,0.9977659574468085,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.31,0.9977978723404255,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.32,0.9978297872340426,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.33,0.9978617021276596,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.34,0.9978936170212765,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.35000000000000003,0.9979255319148936,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.36,0.9979574468085106,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.37,0.9979893617021277,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.38,0.9980212765957447,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.39,0.9980531914893617,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.4,0.9980851063829788,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.41000000000000003,0.9981170212765957,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.42,0.9981489361702127,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.43,0.9981808510638298,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.44,0.9982127659574468,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.45,0.9982446808510639,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.46,0.9982765957446809,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.47000000000000003,0.9983085106382978,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.48,0.9983404255319149,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.49,0.9983723404255319,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.5,0.9984042553191489,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.51,0.998436170212766,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.52,0.998468085106383,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.53,0.9985,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.54,0.998531914893617,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.55,0.998563829787234,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.56,0.9985957446808511,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.5700000000000001,0.9986276595744681,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.58,0.9986595744680851,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.59,0.9986914893617022,0.0
knn,knn_classical,1,2000,0.9957819999999998,0.0,0.6,0.9987234042553191,0.0
